5  20
0         5         521  
1         8         788  
2         10        17   
3         8         619  
4         3         232  
5         7         717  
6         7         836  
7         10        297  
8         8         62   
9         7         407  
10        10        974  
11        7         478  
12        1         265  
13        8         210  
14        1         761  
15        2         695  
16        1         929  
17        8         436  
18        7         221  
19        9         96   
